Season,Team,position,Cost per Position,predicted_position
2009-2010,Real Madrid,2,225.85,6.0
2009-2010,Barcelona,1,515.4,5.0
2009-2010,Valencia,3,80.0,9.0
2009-2010,Sevilla,4,54.575,10.0
2009-2010,Ath Madrid,9,23.422222222222224,10.0
2009-2010,Villarreal,7,23.385714285714283,11.0
2009-2010,La Coruna,10,7.590000000000001,12.0
2009-2010,Ath Bilbao,8,12.6,12.0
2009-2010,Espanol,11,6.454545454545454,12.0
2009-2010,Zaragoza,14,6.232142857142857,12.0
2009-2010,Racing,16,4.15625,12.0
2009-2010,Getafe,6,12.883333333333333,12.0
2009-2010,Mallorca,5,13.02,12.0
2009-2010,Osasuna,12,5.0,13.0
2009-2010,Almeria,13,4.9,13.0
2009-2010,Malaga,17,3.447058823529412,13.0
2009-2010,Valladolid,18,2.8055555555555554,13.0
2009-2010,Sp Gijon,15,3.68,13.0
2009-2010,Tenerife,19,1.7894736842105263,13.0
2009-2010,Xerez,20,1.625,13.0
2010-2011,Barcelona,1,604.7,3.0
2010-2011,Real Madrid,2,259.5,5.0
2010-2011,Ath Madrid,7,26.714285714285715,10.0
2010-2011,Valencia,3,58.666666666666664,11.0
2010-2011,Sevilla,5,35.12,11.0
2010-2011,Villarreal,4,42.65,11.0
2010-2011,Ath Bilbao,6,18.666666666666668,12.0
2010-2011,Espanol,8,9.8,12.0
2010-2011,Almeria,20,3.6799999999999997,12.0
2010-2011,Malaga,11,6.459090909090909,12.0
2010-2011,Sociedad,15,4.446666666666667,12.0
2010-2011,Getafe,16,4.15,12.0
2010-2011,La Coruna,18,3.538888888888889,13.0
2010-2011,Racing,12,4.941666666666666,13.0
2010-2011,Osasuna,9,6.433333333333334,13.0
2010-2011,Zaragoza,13,4.384615384615385,13.0
2010-2011,Mallorca,17,3.158823529411765,13.0
2010-2011,Sp Gijon,10,5.34,13.0
2010-2011,Hercules,19,2.7210526315789476,13.0
2010-2011,Levante,14,2.685714285714286,13.0
2011-2012,Barcelona,2,309.1,3.0
2011-2012,Real Madrid,1,539.2,4.0
2011-2012,Ath Madrid,5,42.0,10.0
2011-2012,Valencia,3,60.333333333333336,10.0
2011-2012,Ath Bilbao,10,14.419999999999998,11.0
2011-2012,Villarreal,18,7.611111111111111,11.0
2011-2012,Sevilla,9,14.777777777777779,11.0
2011-2012,Malaga,4,30.325,11.0
2011-2012,Espanol,14,5.8,12.0
2011-2012,Sociedad,12,6.2250000000000005,12.0
2011-2012,Getafe,11,6.45,12.0
2011-2012,Mallorca,8,7.775,13.0
2011-2012,Zaragoza,16,3.8125,13.0
2011-2012,Granada,17,3.5647058823529414,13.0
2011-2012,Sp Gijon,19,2.8105263157894735,13.0
2011-2012,Betis,13,4.053846153846154,13.0
2011-2012,Vallecano,15,3.1533333333333333,13.0
2011-2012,Osasuna,7,6.3428571428571425,13.0
2011-2012,Racing,20,2.13,13.0
2011-2012,Levante,6,6.708333333333333,13.0
2012-2013,Barcelona,1,586.6,3.0
2012-2013,Real Madrid,2,291.2,3.0
2012-2013,Ath Madrid,3,89.0,9.0
2012-2013,Valencia,5,34.58,11.0
2012-2013,Sevilla,9,16.08888888888889,11.0
2012-2013,Malaga,6,20.483333333333334,11.0
2012-2013,Ath Bilbao,12,9.987499999999999,12.0
2012-2013,Sociedad,4,28.25,12.0
2012-2013,Granada,15,4.8533333333333335,12.0
2012-2013,Getafe,10,6.83,12.0
2012-2013,Betis,7,9.457142857142857,12.0
2012-2013,Espanol,13,4.93076923076923,12.0
2012-2013,Vallecano,8,6.21875,13.0
2012-2013,Celta,17,2.888235294117647,13.0
2012-2013,Mallorca,18,2.6166666666666667,13.0
2012-2013,Zaragoza,20,2.34,13.0
2012-2013,Osasuna,16,2.9,13.0
2012-2013,La Coruna,19,2.4,13.0
2012-2013,Levante,11,3.7363636363636363,13.0
2012-2013,Valladolid,14,2.7714285714285714,13.0
2013-2014,Real Madrid,3,212.26666666666665,2.0
2013-2014,Barcelona,2,296.1,3.0
2013-2014,Ath Madrid,1,308.8,8.0
2013-2014,Valencia,8,22.35,10.0
2013-2014,Sevilla,5,28.23,11.0
2013-2014,Sociedad,7,19.52857142857143,11.0
2013-2014,Ath Bilbao,4,32.675,11.0
2013-2014,Villarreal,6,12.883333333333333,12.0
2013-2014,Malaga,11,5.681818181818182,13.0
2013-2014,Betis,20,2.93,13.0
2013-2014,Granada,15,3.832,13.0
2013-2014,Getafe,13,4.3,13.0
2013-2014,Espanol,14,3.664285714285714,13.0
2013-2014,Celta,9,5.544444444444444,13.0
2013-2014,Vallecano,12,3.841666666666667,13.0
2013-2014,Elche,16,2.7875,13.0
2013-2014,Levante,10,4.24,13.0
2013-2014,Osasuna,18,2.3499999999999996,13.0
2013-2014,Valladolid,19,2.168421052631579,13.0
2013-2014,Almeria,17,2.144117647058824,13.0
2014-2015,Real Madrid,2,394.4,1.0
2014-2015,Barcelona,1,603.8,3.0
2014-2015,Ath Madrid,3,118.66666666666667,7.0
2014-2015,Valencia,4,57.5,10.0
2014-2015,Sevilla,5,33.35,11.0
2014-2015,Ath Bilbao,7,16.014285714285712,12.0
2014-2015,Sociedad,12,8.066666666666666,12.0
2014-2015,Espanol,10,7.57,12.0
2014-2015,Villarreal,6,22.116666666666664,11.0
2014-2015,Getafe,15,3.3466666666666667,13.0
2014-2015,Malaga ,9,9.2,12.0
2014-2015,Celta,8,7.55,13.0
2014-2015,Granada,17,3.9735294117647055,12.0
2014-2015,Levante,14,3.1035714285714286,13.0
2014-2015,Almeria,19,2.0157894736842104,13.0
2014-2015,Cordoba,20,2.545,13.0
2014-2015,La Coruna,16,3.36875,13.0
2014-2015,Eibar,18,1.6333333333333333,13.0
2014-2015,Vallecano,11,4.7,13.0
2014-2015,Elche,13,2.9692307692307693,13.0
2015-2016,Real Madrid,2,363.0,1.0
2015-2016,Barcelona,1,714.3,1.0
2015-2016,Ath Madrid,3,139.5,6.0
2015-2016,Valencia,12,21.166666666666668,9.0
2015-2016,Sevilla,7,32.9,10.0
2015-2016,Villarreal,4,35.15,11.0
2015-2016,Sociedad,9,13.266666666666667,12.0
2015-2016,Ath Bilbao,5,29.6,11.0
2015-2016,Betis,10,5.64,13.0
2015-2016,Espanol,13,4.7846153846153845,13.0
2015-2016,Malaga,8,9.74375,12.0
2015-2016,Levante,20,2.6550000000000002,13.0
2015-2016,Granada,16,4.46875,12.0
2015-2016,Celta,6,15.183333333333332,12.0
2015-2016,Vallecano,18,2.7555555555555555,13.0
2015-2016,Getafe,19,2.5842105263157897,13.0
2015-2016,Eibar,14,4.042857142857143,13.0
2015-2016,Las Palmas,11,2.9272727272727277,13.0
2015-2016,La Coruna,15,4.116666666666666,13.0
2015-2016,Sp Gijon,17,3.1294117647058823,13.0
2016-2017,Real Madrid,1,802.9,1.0
2016-2017,Barcelona,2,382.65,1.0
2016-2017,Ath Madrid,3,171.9333333333333,5.0
2016-2017,Sevilla,4,67.525,9.0
2016-2017,Villarreal,5,38.14,10.0
2016-2017,Sociedad,6,26.075,11.0
2016-2017,Ath Bilbao,7,24.657142857142855,11.0
2016-2017,Espanol,8,10.1,12.0
2016-2017,Alaves,9,9.488888888888889,12.0
2016-2017,Eibar,10,6.795,12.0
2016-2017,Malaga ,11,7.663636363636363,12.0
2016-2017,Valencia,12,21.458333333333332,9.0
2016-2017,Celta,13,9.415384615384616,11.0
2016-2017,Las Palmas,14,6.021428571428571,12.0
2016-2017,Betis,15,5.613333333333333,12.0
2016-2017,La Coruna,16,5.875,12.0
2016-2017,Leganes,17,3.126470588235294,13.0
2016-2017,Sp Gijon,18,2.5972222222222223,13.0
2016-2017,Osasuna,19,2.2578947368421054,13.0
2016-2017,Granada,20,3.3225000000000002,12.0
2017-2018,Barcelona,1,1090.0,1.0
2017-2018,Real Madrid,3,318.45,1.0
2017-2018,Ath Madrid,2,355.575,1.0
2017-2018,Valencia,4,99.5125,7.0
2017-2018,Sevilla,7,36.17142857142857,9.0
2017-2018,Ath Bilbao,16,15.5875,9.0
2017-2018,Sociedad,12,19.412499999999998,10.0
2017-2018,Villarreal,5,44.0,10.0
2017-2018,Celta,13,13.311538461538463,11.0
2017-2018,Betis,6,22.041666666666668,11.0
2017-2018,Espanol,11,8.89090909090909,12.0
2017-2018,Las Palmas,19,4.802631578947368,12.0
2017-2018,Girona,10,8.175,12.0
2017-2018,Alaves,14,5.3428571428571425,12.0
2017-2018,La Coruna,18,3.691666666666667,12.0
2017-2018,Getafe,8,8.2,12.0
2017-2018,Levante,15,4.123333333333333,13.0
2017-2018,Eibar,9,6.672222222222222,13.0
2017-2018,Leganes,17,3.4441176470588233,13.0
2017-2018,Malaga,20,2.7600000000000002,13.0
2018-2019,Barcelona,1,1160.0,1.0
2018-2019,Real Madrid,3,298.7,1.0
2018-2019,Ath Madrid,2,484.85,1.0
2018-2019,Valencia,4,124.9125,5.0
2018-2019,Sevilla,6,51.050000000000004,8.0
2018-2019,Villarreal,14,16.475,10.0
2018-2019,Betis,10,29.075,9.0
2018-2019,Ath Bilbao,8,29.28125,10.0
2018-2019,Sociedad,9,33.43888888888889,8.0
2018-2019,Espanol,7,24.957142857142856,11.0
2018-2019,Leganes,13,8.65,12.0
2018-2019,Levante,15,7.1899999999999995,12.0
2018-2019,Celta,17,13.770588235294117,10.0
2018-2019,Eibar,12,7.825,12.0
2018-2019,Getafe,5,26.439999999999998,11.0
2018-2019,Alaves,11,10.072727272727272,12.0
2018-2019,Girona,18,5.402777777777778,12.0
2018-2019,Vallecano,20,4.335,12.0
2018-2019,Huesca,19,3.231578947368421,13.0
2018-2019,Valladolid,16,5.1875,12.0
